0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
18.7552,38.9834,67.2,78.55,3.6,42.481,39.225,50.9193,58.096,24.38,282.83,55.9,21.95,22.55,5.7989,46.0961,29.8913,13.3662,10.8186,22.15,39.97,34.6305,41.5454,6.0068,27.1061,17.6724,22.5356,2.6216,3.3705,10.6853,40.3081,22.56,28.6056,17.69,304.726,54.1995,10.568,9.7028,61.4516,54.5037,24.5262,16.775,35.2952,30.5944,25.6657,54.5986,67.177,20.1,33.794
19.0678,39.3535,70.15,81.15,3.58,43.109,40.025,51.6403,59.705,25.16,284.345,56.46,22.1333,22.67,5.8233,46.6265,30.2219,13.4151,10.7224,23,39.96,35.3146,43.0554,6.0803,27.7972,17.6479,23.1389,2.6039,3.3891,10.4967,41.7569,23.8,29.1491,17.72,306.733,55.0367,10.459,9.6171,63.4839,55.1619,25.2857,17.1,37.2485,30.944,25.6657,55.2101,67.984,20.267,33.784
18.7552,39.5755,69.1,81.75,3.616,43.727,40.8,54.2088,60.625,25.75,283.454,56.04,22.4667,23.075,6.0367,47.4944,30.6848,13.6305,11.1073,22.52,39.95,35.2674,44.8673,6.1866,28.519,17.9792,24.5256,2.657,3.3891,10.7089,42.0674,24.65,30.7547,17.57,306.21,56.1384,10.546,10.0285,64.7903,54.8547,25.9956,17.19,37.7028,31.7745,25.9348,56.3021,68.695,20.433,33.595
18.7552,40.1183,71.8,82.95,3.676,44.261,41.5,54.5242,62.37,25.45,286.119,56.72,22.6833,23.25,6.1281,47.8801,31.6012,13.6012,11.1635,22.7,40.4,35.1495,45.4282,6.2764,28.5958,17.9915,25.2136,2.6606,3.3891,10.9917,41.6534,25.15,30.1372,17.88,311.489,56.0502,10.676,9.5743,64.8387,54.6792,26.3754,16.98,38.2706,31.8619,26.0424,56.3894,69.301,20.883,35.275
18.8615,40.4637,72.1,82.5,3.7,43.84,42.5,52.6317,62.515,24.36,286.573,56.6,22.75,23.33,6.1342,47.9284,31.5823,13.6599,11.3399,22.6,40.4,35.409,45.8164,6.3745,28.8722,17.427,25.9545,2.6747,3.4078,11.196,40.6444,24.63,30.9277,18.17,309.815,56.579,10.947,9.9,65.0806,54.4159,26.9119,16.8,38.475,32.2115,26.2038,56.3458,67.342,20.893,35.186
18.6302,39.8716,70.65,81.9,3.77,42.772,42.9,53.2625,63.388,23.96,283.454,54.85,22.6667,22.97,6.1464,48.2177,31.2233,13.2878,11.4201,23,40.35,35.0079,45.7302,6.2274,28.9029,17.3288,25.4041,2.6694,3.3612,11.1724,40.1011,25.4,31.8664,18,303.595,56.7993,10.839,10.0371,65.2742,54.5914,27.5558,16.875,38.9974,32.0367,26.3652,55.7343,67.576,20.483,34.48
18.6302,39.3288,69.35,80.5,3.836,42.332,41.662,52.3613,62.079,23.8,285.682,54.15,22.2,22.725,6.0977,48.507,31.0344,13.4053,11.3479,22.82,40.05,34.4889,43.7888,6.1947,28.4806,17.0097,24.8749,2.6411,3.3426,11.0467,40.6444,25.15,31.7675,17.8,305.687,56.8434,10.837,9.9257,64.4516,54.2404,26.945,16.59,39.9059,31.9056,26.3652,55.7343,67.802,20.417,33.605
17.8175,39.5755,69.95,81.05,3.838,42.481,41.313,52.7218,61.449,24.21,287.911,53.95,22.2833,23.05,6.1891,48.2659,31.4878,13.846,11.38,22.64,40.4,34.5597,45.3419,6.2601,28.7186,17.8933,24.2503,2.657,3.3146,11.2745,40.4892,24.42,31.9899,17.73,306.762,56.8434,10.871,9.9428,65.2258,54.2842,26.3341,16.965,39.5198,32.0804,26.6342,56.2584,67.386,20.393,33.844
17.8487,39.6742,68.85,80.85,3.84,42.481,42.003,53.1273,61.304,23.37,289.649,54.49,22.5,22.84,6.1403,48.4588,32.1208,13.6795,11.2276,21.5,40,34.0171,44.9967,6.3337,29.1256,17.8688,23.8693,2.6747,3.324,11.1645,40.4116,24.66,32.2863,17.99,310.062,56.8434,10.849,9.9428,64.3064,54.3281,26.3423,16.55,39.0882,32.2989,26.3652,55.909,68.339,20.463,34.54
18.0363,39.4768,67.15,79.2,3.828,34.987,41,51.8206,59.879,21.25,290.585,53.68,22.25,22.195,6.0489,48.507,31.554,13.8656,10.8748,21.1,39.04,34.4418,42.7448,6.3909,28.8031,17.7583,23.954,2.6836,3.296,10.9681,40.2564,23.74,32.311,18.15,313.857,56.0502,10.689,9.8314,63.7742,54.4159,25.88,16.75,39.4289,32.2552,25.881,55.3848,68.01,20.69,34.381
18.1176,38.9834,66.5,78.55,3.79,34.641,39.975,50.5588,57.718,20.3,286.573,52.92,22.15,22.205,5.9208,48.2659,31.1288,13.9831,10.5219,21.25,38.65,33.97,40.9501,6.35,28.2656,17.427,23.0648,2.6694,3.2402,10.7481,39.4026,22,31.4958,18.08,310.927,55.1689,10.356,9.4714,62.129,53.8893,24.6583,16.95,38.5431,31.8182,25.4505,54.2055,65.886,20.333,34.092
17.9738,38.5392,67.5,77,3.78,33.788,39.6,50.1533,57.185,19.37,283.008,52.51,22.1833,22.45,5.8659,47.7355,30.8076,13.8166,10.1289,21.5,38.32,33.6633,38.8447,6.2683,27.7972,17.6356,22.7579,2.6694,3.175,10.6853,39.8424,20.75,31.6193,18.01,308.778,55.213,10.307,9.1371,60.7742,53.8893,24.2042,16.745,39.0428,31.5122,25.0739,53.9871,64.542,20.25,33.893
