ADA-USD,ATOM-USD,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close
0.059230998,4.325847149,442.0081482,19.21504974,9613.423828,1.002603054,1.019184947,0.002582,12.33817005,204.2302399,4.585601807,0.000203,0.905233979,2.845628977,72.49310303,0.021433,3.506304979,0.020776,1.002882004,9624.52832,0.068732999,77.99447632,0.277467996
0.059757002,4.566989899,442.7859192,20.59526253,9729.801758,0.999442995,1.000030994,0.002653,12.09863567,212.3390808,5.453011036,0.000202,0.902521014,2.88468194,73.38868713,0.024459001,3.745194912,0.022535,0.998669982,9755.370117,0.070540003,78.08669281,0.282213986
0.05979,4.810633183,439.753418,22.06225777,9795.943359,0.998885989,1.005903959,0.002769,11.70278835,222.726059,4.137917042,0.000419,0.926083982,3.308532,74.35611725,0.022962,3.836266041,0.022061,0.997977972,9841.615234,0.071625002,79.56542206,0.279284
0.059944,4.627561092,443.5063171,21.7824192,9865.119141,0.998059988,1.015198946,0.003159,11.67278957,223.1465149,4.098300934,0.000294,0.936034024,3.414457083,76.46756744,0.021155,3.848129034,0.021852,0.999154985,9875.950195,0.070853002,80.67391968,0.277242988
0.061809,4.758784771,449.8135986,24.30856133,10116.67383,0.999671996,1.008633971,0.003232,11.71010685,228.5785675,3.885346889,0.000294,0.965445995,3.477313042,77.0925827,0.021919999,3.959574938,0.022034001,1.001055956,10179.80176,0.072820999,87.6192627,0.282456994
0.060394,4.788741112,452.8875122,25.21831512,9856.611328,1.000888944,0.996819973,0.002986,11.83901024,223.5227051,3.999602079,0.000286,0.996124983,3.411484003,74.33509827,0.021608001,5.528166771,0.022229001,1.000285983,9841.412109,0.070854999,84.82434082,0.274080008
0.063228004,5.102925777,461.2581787,25.63740349,10208.23633,0.994269013,1.007251024,0.003041,11.94753456,235.8511963,5.657339096,0.000288,1.03113699,3.975558996,76.59739685,0.022798,5.548127174,0.022679999,0.996958971,10180.50684,0.073740996,89.82136536,0.280140996
0.068373002,5.110539913,475.4805298,26.46676254,10326.05469,0.999714017,1.018722057,0.003093,12.24292183,265.4061279,5.992925167,0.000254,1.015859962,4.025118828,81.2974472,0.022898,5.933137894,0.024015,1.002797961,10399.26563,0.08004,95.24085999,0.304392993
0.068581,4.894410133,474.3179932,25.44009972,10214.37988,0.999204993,0.995142996,0.003026,12.04205132,268.0992432,5.593220234,0.000253,1.000365973,3.874434948,80.40342712,0.022252001,5.894311905,0.023859,0.998676002,10294.15625,0.082654998,92.46109009,0.326705992
0.070579998,5.102996826,491.1606445,26.29695892,10312.11621,0.99792999,0.993727028,0.00313,11.98076916,284.2174988,6.203578949,0.000253,0.985059977,4.414372921,82.99034882,0.023249,6.424145222,0.026325,0.99733597,10387.03125,0.085795999,94.81980133,0.334821999
0.063863002,4.582092762,437.6649475,24.14965057,9889.424805,1.00087297,0.985562027,0.00292,10.38814735,264.7285767,6.018992901,0.000304,0.966727018,4.304660797,76.51324463,0.020832,6.613932133,0.023585999,1.000092983,10177.55078,0.079245999,88.87413788,0.306235999
0.062654004,4.39484787,415.9406433,23.4663887,9934.433594,0.997839987,0.991198003,0.002774,9.635473251,259.8947144,6.1954422,0.000254,0.967935026,4.504170895,75.15258789,0.020160001,6.74431181,0.022464,0.997440994,10075.7959,0.075079001,88.41964722,0.295033991
0.060042001,4.270782948,409.344574,23.55137825,9690.142578,0.998613,1.006203055,0.002712,9.609964371,266.3634338,5.723505974,0.000228,0.981459022,4.297008991,73.25130463,0.020056,6.587878227,0.021728,0.995397985,9784.90332,0.071851,82.4009552,0.286572009
0.062596999,4.433234215,418.874176,24.05817795,10141.99609,0.998045027,1.021172047,0.002839,9.822366714,281.9445801,5.535242081,0.00026,0.985378027,4.543797016,77.03517914,0.021526,6.754603863,0.022569999,0.998121977,10155.42383,0.074642003,86.10216522,0.297913015
0.057645001,4.158570766,382.2194214,22.33351135,9633.386719,1.001337051,0.964845002,0.002624,8.879036903,259.7639771,5.703369141,0.000226,0.989347994,4.40132618,71.13594055,0.020713,6.797406197,0.02032,0.998435974,9588.256836,0.070720002,78.18938446,0.277601987
0.058260001,4.471531868,372.4815979,22.22914696,9608.475586,1.000136971,0.987756014,0.002659,8.901761055,257.9494629,5.753620148,0.000249,0.986864984,4.27136898,69.62484741,0.020695999,6.61082077,0.019872,0.999599993,9605.631836,0.071168996,76.60472107,0.272395998
0.058639999,4.834321976,379.3971863,22.1848774,9686.441406,1.001335025,1.000100017,0.002648,9.433291435,265.6006165,5.127295971,0.000249,0.957293987,4.292057991,73.4509201,0.020763,6.660945892,0.020199001,1.000164986,9725.149414,0.071952999,80.40348816,0.274937987
0.058336001,5.004435062,373.8331299,21.96848106,9663.181641,0.999967992,0.997150004,0.002601,9.522424698,262.3317261,4.99111414,0.000249,0.949460983,4.102937222,75.13307953,0.020795999,5.798039913,0.020086,0.999315977,9696.134766,0.069389999,79.09111023,0.27590099
0.06151,4.792140007,401.6355286,22.82887077,9924.515625,0.995377004,1.012573004,0.00268,9.73465538,273.7541504,4.999791145,0.000232,0.94749099,4.243481159,79.53665161,0.022298999,6.541961193,0.021305,0.996414006,9969.922852,0.073645003,84.99668884,0.282710999
0.058959998,4.381978035,377.5785828,22.04412651,9650.174805,0.999157012,0.987721026,0.00259,9.34309864,265.2164307,5.049083233,0.000295,0.945249021,3.913672924,75.53562164,0.02073,6.129241943,0.019858999,0.998731017,9726.141602,0.06938,79.12439728,0.270626992
0.056364,4.059803963,353.9774475,20.34247017,9341.705078,1.001916051,0.982571006,0.002476,9.259241104,247.8175964,4.962431908,0.000288,0.905426025,3.513103962,71.18024445,0.019128,5.632348061,0.019052999,1.000699997,9254.987305,0.065324999,76.79724884,0.253412008
